Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
FDX,Fedex Corp,Industrials,255.22,0.011754565,0.153846154,0.133966578,2.789337685,67937.24839,12.98743039,0.142896398,0.997747154
FE,Firstenergy Corp.,Utilities,36.73,0.042472094,0,0.016137365,1.535458437,19988.23229,18.35466693,0.767729218,0.550025417
FEIM,"Frequency Electronics, Inc.",Technology,9.98,0,,,0,92.274481,0,N/A,
FELE,"Franklin Electric Co., Inc.",Industrials,81.69,0.00856898,0.129032258,0.118426915,0.677881149,3793.066677,28.84746535,0.241238843,1.071648954
FET,Forum Energy Technologies Inc,Energy,19,0,,,0,106.925407,N/A,0,1.371565715
FEYE,FireEye Inc,Technology,18.27,0,,,0,4370.03488,N/A,0,1.1387896
FF,Futurefuel Corp,Basic Materials,7.5,0.029230294,0,0,0.219227203,328.224323,46.42493953,1.356603977,1.017805689
FFBC,First Financial Bancorp,Financial Services,22.62,0.040092971,0,0.075280006,0.906903006,2164.786795,11.51531339,0.472345316,1.2377969
FFG,"FBL Financial Group, Inc.",Financial Services,60.99,0.032664681,-0.653333333,0.033975227,1.992218885,1487.247798,14.50152887,0.476607389,0.506845666
FFIC,Flushing Financial Corp.,Financial Services,21.7,0.038191086,0,0.043167564,0.828746571,671.322137,11.96887334,0.452866979,0.891287723
FFIN,"First Financial Bankshares, Inc.",Financial Services,44.65,0.012485718,0.153846154,-0.035807496,0.557487303,6356.363909,28.29716514,0.352840065,1.051199179
FFIV,"F5 Networks, Inc.",Technology,204.58,0,,,0,12338.68072,41.37914161,0,0.986506561
FFNW,First Financial Northwest Inc,Financial Services,16.48,0.025818101,0.1,0.128881321,0.425482298,157.134048,0,N/A,0.226890569
FFWM,First Foundation Inc,Financial Services,24.88,0.013592675,,,0.33818575,1115.115206,0,N/A,1.087190033
FGBI,First Guaranty Bancshares Inc,Financial Services,19.17,0.041034485,0,0,0.786631078,186.73982,0,N/A,0.792397611
FGEN,FibroGen Inc,Healthcare,11.69,0,,,0,1082.75049,N/A,0,
FHB,First Hawaiian INC,Financial Services,26.65,0.038471405,0,0.053873952,1.025262942,3453.451017,12.73049027,0.492914876,1.109046977
FHN,First Horizon Corporation,Financial Services,15.22,0.038892613,0,0.164658616,0.591945564,8360.852385,6.543848224,0.257367636,1.393645102
FI,Franks International N.V.,Energy,2.81,0,,,0,641.796402,0,N/A,2.196583076
FIBK,First Interstate BancSystem Inc.,Financial Services,38.74,0.040998441,0.205882353,0.113049613,1.588279597,1616.257516,8.547104792,0.524184685,0.905662789
FICO,"Fair, Isaac Corp.",Technology,434.25,0,,,0,12496.3545,34.19068783,0,1.398453115
FIS,"Fidelity National Information Services, Inc.",Technology,123.73,0.012233855,0.114285714,0.084471771,1.513694861,76426.8713,830.726862,10.29724395,0.974206125
FISI,Financial Institutions Inc.,Financial Services,29.58,0.035699735,0.038461538,0.051547497,1.055998173,468.60426,7.151861357,0.258190262,1.080156488
FISV,"Fiserv, Inc.",Technology,108.62,0,,,0,71928.67614,63.26180839,0,1.00786252
FIT,Fitbit Inc,Technology,6.93,0,,,0,1696.933514,0,0,
FITB,Fifth Third Bancorp,Financial Services,40.12,0.026615613,0,0.157401611,1.067818395,27711.61711,11.2102011,0.311317316,1.270733958
FIVE,Five Below Inc,Consumer Cyclical,191.77,0,,,0,10743.29905,41.5121351,0,1.259885167
FIVN,Five9 Inc,Technology,175.06,0,,,0,11851.50616,N/A,0,0.620388741
FIX,"Comfort Systems USA, Inc.",Industrials,69.51,0.006603152,0.142857143,0.113824179,0.458985095,2523.574035,16.56062339,0.110332955,1.244288661
FIXX,Homology Medicines Inc,Healthcare,8.48,0,,,0,484.107453,0,N/A,1.334588039
FIZZ,National Beverage Corp.,Consumer Defensive,52.22,0,,,0,4873.188468,27.563595,0,0.141098058
FL,Foot Locker Inc,Consumer Cyclical,49.63,0.024178924,,,0.696839591,5151.975109,5.050955989,0.071913271,1.368740107
FLDM,Fluidigm Corp,Healthcare,6.94,0,,,0,528.598827,N/A,0,1.084331177
FLIC,First Of Long Island Corp.,Financial Services,19.98,0.038038038,0.055555556,-0.019817688,0.749522137,473.640885,10.77656674,0.407348988,0.921387693
FLIR,"Flir Systems, Inc.",Technology,57.34,0,,,0.510000005,0,0,0.284916204,
FLL,"Full House Resorts, Inc.",Consumer Cyclical,8.62,0,,,0,295.04099,0,N/A,1.774273934
FLMN,Falcon Minerals Corp,Energy,4.45,0.084961479,,,0.378078582,206.051082,24.78362789,3.917912767,1.495947389
FLNT,Fluent Inc,Communication Services,2.55,0,,,0,199.885488,0,N/A,2.107725016
FLO,"Flowers Foods, Inc.",Consumer Defensive,23.25,0.036129032,0.05,0.055892882,0.809609944,4923.284034,21.57593887,0.756644807,0.190793197
FLOW,SPX FLOW Inc,Industrials,77.79,0.002312296,,,0.179873527,3238.383853,49.29046961,0.116047437,0.964809828
FLR,Fluor Corporation,Industrials,15.53,0,,,0,2196.193803,N/A,0,1.43711467
FLS,Flowserve Corp.,Industrials,34.78,0.017164386,0,0.010311459,0.596977352,4530.539801,27.01171442,0.466388556,1.22971025
FLT,Fleetcor Technologies Inc,Technology,258.24,0,,,0,21331.68408,27.37800753,0,1.227056008
FLWS,1-800 Flowers.com Inc.,Consumer Cyclical,32.88,0,,,0,1215.501067,10.24425266,0,1.144711023
FLXN,Flexion Therapeutics Inc,Healthcare,6.23,0,,,0,313.319845,N/A,0,1.045270667
FLXS,"Flexsteel Industries, Inc.",Consumer Cyclical,36.6,0.012245116,2,-0.055912489,0.44817123,249.687213,10.83335704,0.145039233,1.399406794
FMAO,Farmers & Merchants Bancorp Inc.,Financial Services,22.8,0.029498488,0.0625,-0.058664977,0.672565533,255.110386,0,N/A,1.014307887
FMBH,First Mid Bancshares Inc.,Financial Services,38.1,0.027043161,,,1.030344431,688.967101,0,N/A,0.96484723
FMBI,"First Midwest Bancorp, Inc.",Financial Services,17.93,0.030898796,0,0.092388464,0.554015412,2049.379223,13.88374245,0.426165702,1.039192685
FMC,FMC Corp.,Basic Materials,95.19,0.019625333,0.090909091,0.238087841,1.868135469,12250.89465,22.49934738,0.446922361,0.977463137
FMNB,Farmers National Banc Corp.,Financial Services,15.16,0.028726481,0,0.224239925,0.435493449,429.412958,0,N/A,0.897079269
FN,Fabrinet,Technology,105.36,0,,,0,3877.24368,26.13737052,0,1.193557135
FNB,F.N.B. Corp.,Financial Services,10.96,0.043159159,0,0,0.473024385,3501.929128,10.23955885,0.450499414,1.201769707
FNCB,FNCB Bancorp Inc,Financial Services,8.35,0.029580546,0.363636364,0.201124434,0.246997558,166.867494,0,N/A,1.191777037
FND,Floor & Decor Holdings Inc,Consumer Cyclical,127.94,0,,,0,13464.32334,47.30531763,0,1.309774511
FNF,Fidelity National Financial Inc,Financial Services,46.08,0.034722222,0.212121212,0.098560543,1.462195263,13147.24622,5.628101977,0.183003162,1.169983709
FNHC,FedNat Holding Co,Financial Services,2.23,0.040358746,,,0.090000004,38.897544,0,N/A,0.812679602
FNKO,Funko Inc,Consumer Cyclical,19.07,0,,,0,751.145675,19.26063937,0,1.683201169
FNLC,First Bancorp Inc (ME),Financial Services,28.14,0.043704819,0.032258065,0.068278354,1.229853616,309.159941,9.039500049,0.394183851,0.908953771
FNWB,First Northwest Bancorp,Financial Services,18.28,0.013062801,,,0.238788008,185.537211,0,N/A,0.843769094
FOCS,Focus Financial Partners Inc,Financial Services,52.7,0,,,0,3151.472806,0,N/A,1.124958695
FOE,Ferro Corp.,Basic Materials,20.63,0,,,0,1706.189503,10.95903026,0,0.828885377
FOLD,Amicus Therapeutics Inc,Healthcare,11,0,,,0,2932.108014,N/A,0,1.117665473
FONR,Fonar Corp.,Healthcare,17,0,,,0,111.42157,10.03603536,0,0.69422825
FOR,Forestar Group Inc,Real Estate,19.64,0,,,0,972.712401,10.76009293,0,1.073002735
FORD,"Forward Industries, Inc.",Consumer Cyclical,2.26,0,,,0,22.670478,0,N/A,1.546772154
FORM,FormFactor Inc.,Technology,38.15,0,,,0,2963.299724,37.18347334,0,1.989983109
FORR,Forrester Research Inc.,Industrials,46.81,0,,,0,897.25408,81.82891746,0,1.006970118
FOSL,Fossil Group Inc,Consumer Cyclical,12.42,0,,,0,647.628306,N/A,0,0.256572417
FOX,Fox Corporation,Communication Services,35.1,0.013344492,,,0.468391683,21019.05006,0,N/A,0.828535754
FOXA,Fox Corporation,Communication Services,37.71,0.012198356,,,0.468511159,21019.05006,9.776302354,0.129781485,0.689825715
FOXF,Fox Factory Holding Corp,Consumer Cyclical,144.96,0,,,0,6103.3064,40.13300104,0,1.422367005
FPI,Farmland Partners Inc,Real Estate,12.47,0.015930649,0,-0.17073762,0.198655192,409.264752,0,N/A,1.106642795
FPRX,Five Prime Therapeutics Inc,Healthcare,38,0,,,0,0,0,N/A,
FR,"First Industrial Realty Trust, Inc.",Real Estate,53.37,0.019331009,0.08,0.072808072,1.031695975,6891.745166,29.51446299,0.569997776,0.812812863
FRAF,Franklin Financial Services Corp.,Financial Services,32.31,0.037511722,0.066666667,0.059223841,1.212003725,142.798633,0,N/A,
FRAN,Francesca`s Holdings Corp,Consumer Cyclical,2.22,0,,,0,0,0,N/A,
FRBA,First Bank (NJ),Financial Services,13.2,0.009058803,,,0.119576205,151.3512,0,N/A,1.445459475
FRBK,"Republic First Bancorp, Inc.",Financial Services,2.97,0,,,0,174.891874,12.98959257,0,0.926790992
FRC,First Republic Bank,Financial Services,200.04,0.004191943,0.1,0.065762757,0.838556197,34448.08824,34.26218164,0.14432981,0.982821997
FRD,"Friedman Industries, Inc.",Basic Materials,12.15,0.006563686,0,0.148698355,0.079748785,83.829375,3.552824686,0.023594315,0.7135723
FRGI,Fiesta Restaurant Group Inc,Consumer Cyclical,11.03,0,,,0,291.849057,89.05982823,0,1.354059993
FRME,First Merchants Corp.,Financial Services,38.99,0.027944116,0.115384615,0.140936168,1.08954108,2111.841103,11.33126098,0.315809009,1.206969382
FRPH,FRP Holdings Inc,Real Estate,56.26,0,,,0,529.464435,14.95535506,0,0.713681643
FRPT,Freshpet Inc,Consumer Defensive,148,0,,,0,6417.28296,0,N/A,1.266039767
FRT,Federal Realty Investment Trust,Real Estate,119.3,0.035875943,0.00952381,0.015818126,4.178243053,9277.739102,61.13992528,2.099619625,1.178660587
FRTA,Forterra Inc,Industrials,23.5,0,,,0,1572.638988,14.81134499,0,0.967615288
FSBW,FS Bancorp Inc,Financial Services,34.08,0.014881724,-0.333333333,0.069610376,0.507169153,280.490158,0,N/A,0.912997966
FSCT,ForeScout Technologies Inc,Technology,28.99,0,,,0,0,0,N/A,
FSFG,First Savings Financial Group Inc,Financial Services,27.29,0.008646336,,,0.235958513,64.821828,0,N/A,0.455752484
FSLR,First Solar Inc,Technology,104.02,0,,,0,11059.33379,19.64846284,0,0.84628736
FSLY,Fastly Inc,Technology,44.87,0,,,0,5231.842,N/A,0,1.140146536
FSP,Franklin Street Properties Corp.,Real Estate,4.66,0.075263517,0,-0.138812373,0.350727991,500.459596,0,N/A,1.122503085
FSS,Federal Signal Corp.,Industrials,39.33,0.008869875,0.125,0.051547497,0.348852193,2399.421553,23.22770139,0.208893529,1.061947827
FSTR,L.B. Foster Co.,Industrials,15.42,0,,,0,167.067697,15.84631481,0,0.723879852
FTDR,Frontdoor Inc.,Consumer Cyclical,45.38,0,,,0,3891.202264,40.53335691,0,0.698303777
FTEK,Fuel Tech Inc,Industrials,1.76,0,,,0,53.264272,117.5811747,0,2.654466476
FTI,TechnipFMC plc,Energy,7.05,0,,,0,3177.438384,20.11036952,0,1.352415807
FTK,Flotek Industries Inc,Energy,1.3,0,,,0,96.327735,N/A,0,1.071434682
FTNT,Fortinet Inc,Technology,299.49,0,,,0,48912.7667,94.59053703,0,1.302693161
FTSI,FTS International Inc.,Energy,25.71,0,,,0,353.495454,N/A,0,
FTV,Fortive Corp,Technology,72.74,0.003843738,0,0,0.27959349,26069.35428,15.67138821,0.060518071,0.844699189
FUL,H.B. Fuller Company,Basic Materials,60.72,0.011034256,,,0.496219558,3189.899637,19.800251,0.164311112,1.136721082
FULT,Fulton Financial Corp.,Financial Services,14.78,0.036040195,0.076923077,0.049414523,0.532674077,2410.2485,9.911580138,0.35749938,1.103937841
FUNC,First United Corporation,Financial Services,18.57,0.029790667,,,0.553212679,122.833196,7.080131205,0.220403458,0.702626992
FUSB,First US Bancshares Inc,Financial Services,11.43,0.01045373,0,0.084471771,0.119486132,71.065899,21.15686194,0.239115734,
FVE,Five Star Senior Living Inc.,Healthcare,3.9,0,,,0,123.861871,N/A,0,0.956034425
FWONA,Liberty Media Corp.,Communication Services,45.13,0,,,0,28433.41406,0,N/A,0.9326509
FWONK,Liberty Media Corp.,Communication Services,49.52,0,,,0,28433.41406,0,N/A,0.913947579
FWRD,Forward Air Corp.,Industrials,83.33,0.010044929,0.166666667,0.069610376,0.837043965,2258.275415,41.72025006,0.424895413,1.065513024
G,Genpact Ltd,Technology,49.13,0.008520595,,,0.418616836,9223.527653,26.02619585,0.23000925,1.178252487
GABC,German American Bancorp Inc,Financial Services,36.36,0.022377551,0.105263158,0.031310306,0.813647751,965.201797,12.23912401,0.273955472,0.773155424
GAIA,Gaia Inc,Communication Services,9.84,0,,,0,136.952992,17.96104814,0,1.053499851
GALT,Galectin Therapeutics Inc,Healthcare,4.06,0,,,0,235.864839,0,N/A,0.91123777
GATX,GATX Corp.,Industrials,86.47,0.022716432,0.041666667,0.045639553,1.964289884,3069.685,28.50218199,0.650427114,0.918725009
GBCI,"Glacier Bancorp, Inc.",Financial Services,50.52,0.024101546,0.066666667,0.087892886,1.217610091,4825.042184,15.1708941,0.365648676,1.168033443
GBL,Gamco Investors Inc,Financial Services,27.5,0.002807196,0,0,0.077197884,224.543688,0,N/A,0.693381442
GBLI,Global Indemnity Group LLC,Financial Services,27.5,0.035890552,,,0.986990191,288.199973,N/A,N/A,
GBT,Global Blood Therapeutics Inc.,Healthcare,28.03,0,,,0,1749.410098,0,N/A,0.855877138
GBX,"Greenbrier Cos., Inc.",Industrials,41.86,0.025554841,0,0.051547497,1.06972563,1355.319597,2270.21708,59.42920169,1.280535393
GCBC,Greene County Bancorp Inc,Financial Services,35.49,0.013715153,0.083333333,0.06474093,0.486750781,302.141063,0,N/A,0.742901776
GCI,Gannett Co Inc.,Communication Services,6.88,0,,,0,981.205414,0,N/A,1.391109125
GCO,Genesco Inc.,Consumer Cyclical,58.98,0,,,0,891.132477,7.603584303,0,1.819479318
GCP,GCP Applied Technologies Inc,Basic Materials,22.53,0,,,0,1655.5947,14.76890901,0,1.198055411
GD,General Dynamics Corp.,Industrials,195.12,0.024395244,0.081818182,0.09382205,4.536667345,54544.1207,16.62423673,0.394836148,0.733416102
GDDY,Godaddy Inc,Technology,72.41,0,,,0,12225.01107,63.40773379,0,0.951706608
GDEN,Golden Entertainment Inc,Consumer Cyclical,45.39,0,,,0,1310.395184,14.8569198,0,1.804823433
GDOT,Green Dot Corp.,Financial Services,49.74,0,,,0,2717.995694,113.2403839,0,1.084932968
GDP,Goodrich Petroleum Corp.,Energy,20.43,0,,,0,275.999351,0,N/A,1.305525832
GE,General Electric Co.,Industrials,100.47,0.00318503,,,0.319626354,110517,N/A,N/A,0.85680616
GEC,Great Elm Capital Group Inc,Financial Services,2.62,0,,,0,0,0,0,
GEF,Greif Inc,Consumer Cyclical,62.08,0.029639175,0.045454545,0.018360881,1.761420191,3035.868423,9.182905091,0.346055047,1.105889289
GEN,Genesis Healthcare Inc,Healthcare,0.4204,0,,,0,46.97078,N/A,0,1.302868226
GENC,"Gencor Industries, Inc.",Industrials,11.23,0,,,0,138.110325,0,N/A,0.773091681
GEO,"Geo Group, Inc.",Real Estate,7.01,0,,,0.580171878,859.101626,6.362914494,0.518010606,0.023433855
GEOS,Geospace Technologies Corp,Energy,9.53,0,,,0,125.818329,N/A,0,1.124053735
GERN,Geron Corp.,Healthcare,1.41,0,,,0,452.044865,N/A,0,0.579056606
GES,Guess Inc.,Consumer Cyclical,21.76,0.020618915,,,0.448667594,1413.457923,8.330040444,0.170596043,1.808383275
GEVO,Gevo Inc,Basic Materials,6.7,0,,,0,1321.337726,0,N/A,2.532757793
GFED,Guaranty Federal Bancshares Inc,Financial Services,23.97,0.018507963,0,0.133966578,0.443635882,105.109193,0,N/A,
GFF,Griffon Corp.,Industrials,23.89,0.0133285,0.066666667,0.059223841,0.318417854,1354.012933,16.23322063,0.199011159,1.19550481
GFN,General Finance Corporation,Industrials,19.01,0,,,0,0,0,N/A,
GGG,Graco Inc.,Industrials,75.17,0.009775241,0.071428571,-0.106905394,0.734804898,12759.4763,28.69806707,0.285916303,0.869689052
GH,Guardant Health Inc,Healthcare,132.05,0,,,0,13376.48924,N/A,0,1.003450943
GHC,Graham Holdings Co.,Consumer Defensive,585.29,0.010181214,0.04137931,0.045293658,5.958962456,2363.085549,4.368576869,0.055201134,0.649597407
GHL,Greenhill & Co Inc,Financial Services,13.9,0.014341078,0,-0.355605985,0.199340986,265.992791,5.643331582,0.103285485,0.934291616
GHM,Graham Corp.,Industrials,11.94,0.036428703,0,0.040950397,0.43495871,127.655447,119.7518268,4.095656407,0.807416165
GIFI,"Gulf Island Fabrication, Inc.",Energy,4.3,0,,,0,66.801468,N/A,0,0.093974219
GIII,G-III Apparel Group Ltd.,Consumer Cyclical,28.45,0,,,0,1381.705744,11.20559381,0,1.589283874
GILD,"Gilead Sciences, Inc.",Healthcare,71.61,0.039659265,0.044117647,0.086005684,2.767338576,89785.294,17.3935091,0.676610899,0.475714856
GIS,"General Mills, Inc.",Consumer Defensive,58.92,0.035641548,0.040816327,0.012198729,2.02715005,35721.85616,15.26705537,0.536283082,0.252542984
GKOS,Glaukos Corporation,Healthcare,53.94,0,,,0,2511.503684,N/A,0,1.063122826
GL,Globe Life Inc,Financial Services,89.67,0.008561267,0.053333333,0.071242546,0.767688777,9121.286919,11.82555479,0.104875516,1.083767238
GLBZ,Glen Burnie Bancorp,Financial Services,12.4,0.01593218,0,0,0.197559038,35.353268,0,N/A,
GLDD,Great Lakes Dredge & Dock Corporation,Industrials,15.09,0,,,0,990.774678,29.07629282,0,1.034167817
GLIBA,GCI Liberty Inc,Communication Services,91.73,0,,,0,0,0,N/A,
GLPI,Gaming and Leisure Properties Inc,Real Estate,47.38,0.056563951,0.116666667,0.022314947,2.538883626,11101.18531,19.77597691,1.036279031,0.90209034
GLRE,Greenlight Capital Re Ltd,Financial Services,7.25,0,,,0,199.82408,3.89323305,0,0.828726341
GLT,Glatfelter Corporation,Basic Materials,14.51,0.03706151,0.037037037,0.022924557,0.537762506,646.059041,24.74184442,0.923197435,1.024321228
GLUU,Glu Mobile Inc,Communication Services,12.5,0,,,0,0,0,0,
GLW,"Corning, Inc.",Technology,38.39,0.025006512,0.090909091,0.121955145,0.932020321,32786.29343,38.52678429,0.904874098,1.20847924
GLYC,GlycoMimetics Inc,Healthcare,2.26,0,,,0,116.478163,0,N/A,1.173222772
GM,General Motors Company,Consumer Cyclical,51.33,0,,,0,74516.98327,5.905609706,0,1.169912485
GME,Gamestop Corporation,Consumer Cyclical,204.97,0,,,0,15678.46194,N/A,0,-1.98260935
GMED,Globus Medical Inc,Healthcare,80.72,0,,,0,8143.895125,44.24899686,0,0.933770986
GMRE,Global Medical REIT Inc,Real Estate,15.07,0.054412741,0.025,0.004950737,0.793030082,967.447569,0,N/A,0.968915456
GMS,GMS Inc,Industrials,44.76,0,,,0,1931.324353,13.84035282,0,1.67829592
GNCA,Genocea Biosciences Inc,Healthcare,1.93,0,,,0,105.059239,0,N/A,1.48031462
GNE,Genie Energy Ltd,Utilities,6.56,0.012957317,,,0.085000001,160.600208,0,N/A,0.762615666
GNK,Genco Shipping & Trading Limited,Industrials,20.53,0.009222445,,,0.189336795,860.553423,0,N/A,0.716212156
GNL,Global Net Lease Inc,Real Estate,16.28,0.098280098,0,0.176446892,1.54879576,1632.746792,0,N/A,0.992299956
GNMK,GenMark Diagnostics Inc,Healthcare,24.04,0,,,0,0,0,N/A,
GNRC,Generac Holdings Inc,Industrials,435.36,0,,,0,27480.22316,52.87556288,0,1.157372011
GNTX,Gentex Corp.,Consumer Cyclical,32.24,0.014888337,0,0.059223841,0.478792574,7703.879539,16.98201668,0.254676901,0.980889634
GNTY,"Guaranty Bancshares, Inc. (TX)",Financial Services,34,0.022271233,,,0.757221939,409.969858,0,N/A,0.684434439
GNW,Genworth Financial Inc,Financial Services,3.52,0,,,0,1785.998136,1.606113431,0,1.642130105
GOGO,Gogo Inc,Communication Services,12.36,0,,,0,1355.945766,N/A,0,1.373946387
GOLF,Acushnet Holdings Corp,Consumer Cyclical,50.69,0.012760131,,,0.646811039,3746.278869,14.93380293,0.193656,0.837772525
